name,address,is_preferred
Cardify,3967 Portage Circle,0
Sonsing,07660 Dexter Center,0
Matsoft,47654 Crest Line Pass,1
Ventosanzap,06 Arizona Avenue,1
Tin,369 Declaration Way,0
Namfix,6345 Carioca Plaza,1
Mat Lam Tam,00 Waywood Junction,1
Bamity,51 Transport Alley,0
Flexidy,040 Goodland Plaza,1
Span,58560 Jay Plaza,0
Rank,17 Kropf Street,1
Ventosanzap,3060 Walton Park,1
Ventosanzap,51 Rigney Plaza,1
Zathin,0127 Shelley Point,1
Regrant,9419 Northview Road,0
Andalax,15 Loeprich Trail,1
Fix San,79 David Pass,0
Zaam-Dox,337 Redwing Crossing,1
Sonsing,96 Aberg Drive,0
Subin,47381 Michigan Center,0
Prodder,5 Moulton Lane,1
Ventosanzap,15752 Towne Park,1
Konklux,00 Gale Alley,0
Transcof,2545 Miller Alley,0
Stim,08 Fairfield Center,0
Trippledex,8 Shoshone Drive,1
Transcof,1568 Bunker Hill Hill,0
Flowdesk,7 Heffernan Place,0
Toughjoyfax,28942 Stoughton Way,0
Veribet,0697 Kim Hill,1
